Schedule,Chunk,Threads,Time
static,1000,2,118.522
static,1000,4,62.7645
static,1000,6,57.163
static,1000,8,51.5409
static,10000,2,113.668
static,10000,4,60.2051
static,10000,6,56.1831
static,10000,8,47.9871
static,50000,2,111.776
static,50000,4,58.8534
static,50000,6,52.3454
static,50000,8,47.5138
dynamic,1000,2,111.767
dynamic,1000,4,58.9268
dynamic,1000,6,52.0677
dynamic,1000,8,46.7755
dynamic,10000,2,111.798
dynamic,10000,4,58.6629
dynamic,10000,6,52.2681
dynamic,10000,8,46.5119
dynamic,50000,2,111.811
dynamic,50000,4,58.5298
dynamic,50000,6,51.8486
dynamic,50000,8,46.8599
guided,1000,2,111.918
guided,1000,4,58.4605
guided,1000,6,52.0144
guided,1000,8,46.4162
guided,10000,2,112.137
guided,10000,4,59.4593
guided,10000,6,51.8724
guided,10000,8,46.3921
guided,50000,2,111.828
guided,50000,4,58.4688
guided,50000,6,51.7102
guided,50000,8,46.5392
